Date,Brand,Country,Ad_Spend (€),Impressions,Clicks,Conversions,Revenue (€),ROI,CTR,CPC (€),Conversion_Rate,Ad_Frequency,Avg_Cart_Value (€),Return_Rate,Customer_Satisfaction,Sentiment_Score,Tweet_Mentions,Sentiment_Trend,% Positive Tweets,% Negative Tweets,Target_Age,Target_Gender,Target_Occupation,Target_Income,Ad_Channel,Ad_Type
2023-01-31,Nike,USA,1877825,10093612,314191,33242,12328614.73,6.57,0.0311,5.98,0.1058,2.18,370.87,0.0313,3.84,-0.94,29657,-1.05,2.4,97.6,55-64,Male,Retired,Middle,Digital,Email
2023-01-31,Nike,France,9896237,90776802,7950552,1905762,168151237.03,16.99,0.0876,1.24,0.2397,25.25,88.23,0.0642,3.31,0.91,45118,0.75,65.9,34.099999999999994,35-44,Female,Retired,Middle,TV,Email
2023-01-31,Nike,Allemagne,9006414,61895611,5732651,399566,61396270.02,6.82,0.0926,1.57,0.0697,20.07,153.66,0.0951,4.41,-0.91,30871,-0.8,4.5,95.5,25-34,Male,Unemployed,Middle,Social Media,Sponsored Post
2023-01-31,Nike,UK,2738882,28902639,719767,84028,39406227.98,14.39,0.0249,3.81,0.1167,44.54,468.96,0.0992,3.34,0.46,22417,0.44,46.4,53.6,65+,Non-binary,Retired,Low,Print,Video
2023-01-31,Nike,Canada,3852788,66757407,5439350,817486,34687925.94,9.0,0.0815,0.71,0.1503,13.89,42.43,0.1339,3.63,0.31,52856,0.46,53.8,46.2,25-34,Female,Employee,Low,Outdoor,Search Ad
2023-01-31,Nike,Espagne,4418072,71595772,3272013,640932,120096835.72,27.18,0.0457,1.35,0.1959,59.15,187.38,0.0862,3.18,-0.91,15371,-1.05,2.6,97.4,65+,Female,Retired,Low,Social Media,Email
2023-01-31,Nike,Italie,7862574,101715880,9892118,2623339,40991518.58,5.21,0.0973,0.79,0.2652,100.62,15.63,0.1086,4.07,-0.47,85012,-0.53,17.1,82.9,25-34,Female,Student,High,Print,Search Ad
2023-01-31,Nike,Brésil,3007281,37937526,573199,118265,49957408.07,16.61,0.0151,5.25,0.2063,8.81,422.42,0.0992,3.31,0.53,71697,0.71,73.5,26.5,18-24,Non-binary,Self-employed,Middle,TV,Video
2023-01-31,Nike,Australie,6099806,110899524,9316472,1182060,45371413.12,7.44,0.084,0.65,0.1269,23.06,38.38,0.1431,3.17,-0.03,10071,0.16,37.2,62.8,25-34,Male,Unemployed,High,Digital,Sponsored Post
2023-01-31,Nike,Japon,8862897,160298747,7245199,745890,204564135.3,23.08,0.0452,1.22,0.1029,92.26,274.26,0.1127,3.8,0.34,49944,0.32,50.8,49.2,18-24,Male,Employee,Low,Print,Video
2023-01-31,Apple,USA,9880182,131493591,8008197,414806,148020339.15,14.98,0.0609,1.23,0.0518,241.77,356.84,0.0498,4.81,0.72,10287,0.73,55.0,45.0,45-54,Male,Retired,Low,Outdoor,Search Ad
2023-01-31,Apple,France,7940103,68641862,3427454,520167,29243639.07,3.68,0.0499,2.32,0.1518,18.72,56.22,0.0661,3.82,0.73,8100,0.8,85.8,14.200000000000003,18-24,Male,Unemployed,High,Print,Video
2023-01-31,Apple,Allemagne,4181761,32926563,1842147,156666,15652412.14,3.74,0.0559,2.27,0.085,8.38,99.91,0.0525,4.85,-0.11,73132,-0.27,36.8,63.2,55-64,Male,Student,Low,Digital,Email
2023-01-31,Apple,UK,8157706,99690236,8687185,2394281,217094736.65,26.61,0.0871,0.94,0.2756,1464.31,90.67,0.1481,3.53,0.57,60638,0.48,66.6,33.400000000000006,65+,Non-binary,Unemployed,Low,Digital,Sponsored Post
2023-01-31,Apple,Canada,3662414,71529291,4293340,796624,299935377.88,81.9,0.06,0.85,0.1855,135.08,376.51,0.0265,3.95,0.84,70615,0.7,90.2,9.799999999999997,18-24,Male,Student,High,TV,Banner
2023-01-31,Apple,Espagne,6784229,46121218,4131414,460875,138868292.56,20.47,0.0896,1.64,0.1116,62.52,301.31,0.0745,4.17,0.05,35179,-0.07,45.1,54.9,25-34,Female,Unemployed,Low,Print,Email
2023-01-31,Apple,Italie,5314573,100632901,9448901,494450,155439369.58,29.25,0.0939,0.56,0.0523,21.08,314.37,0.1495,3.15,-0.57,35760,-0.72,14.5,85.5,18-24,Male,Self-employed,Middle,Digital,Email
2023-01-31,Apple,Brésil,9123685,141901574,8955321,2658013,878336279.91,96.27,0.0631,1.02,0.2968,1227.27,330.45,0.1068,4.11,0.86,14577,1.04,52.7,47.3,18-24,Male,Retired,Low,Print,Sponsored Post
2023-01-31,Apple,Australie,3543779,55864779,1359846,283608,39521489.63,11.15,0.0243,2.61,0.2086,13.47,139.35,0.0526,4.82,-0.9,84136,-0.93,3.2,96.8,18-24,Female,Employee,High,Print,Banner
